moisture,temperature,pH,timestamp
51,21,6,2024-10-14 10:33:17+00:00
61,21,6,2024-10-14 10:33:30+00:00
63,21,6,2024-10-14 10:33:44+00:00
63,21,6,2024-10-14 10:33:57+00:00
65,21,6,2024-10-14 10:34:10+00:00
70,21,6,2024-10-14 10:34:23+00:00
64,21,6,2024-10-14 10:34:36+00:00
64,21,6,2024-10-14 10:34:49+00:00
63,21,6,2024-10-14 10:35:03+00:00
66,21,6,2024-10-14 10:35:16+00:00
67,21,6,2024-10-14 10:35:29+00:00
61,21,6,2024-10-14 10:35:42+00:00
61,21,6,2024-10-14 10:35:55+00:00
64,21,6,2024-10-14 10:36:08+00:00
62,21,6,2024-10-14 10:36:22+00:00
69,21,6,2024-10-14 10:36:35+00:00
64,21,6,2024-10-14 10:36:48+00:00
59,21,6,2024-10-14 10:37:01+00:00
61,21,6,2024-10-14 10:37:14+00:00
61,21,6,2024-10-14 10:37:27+00:00
59,21,6,2024-10-14 10:37:41+00:00
62,21,6,2024-10-14 10:37:54+00:00
65,21,6,2024-10-14 10:38:07+00:00
61,21,6,2024-10-14 10:38:20+00:00
63,21,5,2024-10-14 10:38:33+00:00
65,21,5,2024-10-14 10:38:46+00:00
67,21,5,2024-10-14 10:39:00+00:00
62,21,5,2024-10-14 10:39:13+00:00
66,21,5,2024-10-14 10:39:26+00:00
61,21,5,2024-10-14 10:39:39+00:00
67,21,5,2024-10-14 10:39:52+00:00
65,21,6,2024-10-14 10:40:06+00:00
67,21,6,2024-10-14 10:40:19+00:00
62,21,6,2024-10-14 10:40:32+00:00
64,21,6,2024-10-14 10:40:45+00:00
62,21,6,2024-10-14 10:40:58+00:00
65,21,6,2024-10-14 10:41:11+00:00
61,21,5,2024-10-14 10:41:25+00:00
67,21,6,2024-10-14 10:41:38+00:00
65,21,6,2024-10-14 10:41:51+00:00
65,21,6,2024-10-14 10:42:04+00:00
66,21,6,2024-10-14 10:42:17+00:00
64,21,5,2024-10-14 10:42:30+00:00
65,21,5,2024-10-14 10:42:44+00:00
64,21,5,2024-10-14 10:42:57+00:00
67,21,5,2024-10-14 10:43:10+00:00
64,21,5,2024-10-14 10:43:23+00:00
64,21,5,2024-10-14 10:43:36+00:00
61,21,5,2024-10-14 10:43:50+00:00
61,21,5,2024-10-14 10:44:03+00:00
64,21,5,2024-10-14 10:44:16+00:00
66,21,5,2024-10-14 10:44:29+00:00
64,21,5,2024-10-14 10:44:42+00:00
64,21,5,2024-10-14 10:44:55+00:00
68,21,5,2024-10-14 10:45:09+00:00
64,21,5,2024-10-14 10:45:22+00:00
68,21,5,2024-10-14 10:45:35+00:00
66,21,5,2024-10-14 10:45:48+00:00
64,21,5,2024-10-14 10:46:01+00:00
61,21,5,2024-10-14 10:46:14+00:00
64,21,5,2024-10-14 10:46:28+00:00
61,21,5,2024-10-14 10:46:41+00:00
63,21,5,2024-10-14 10:46:54+00:00
64,21,5,2024-10-14 10:47:07+00:00
61,21,5,2024-10-14 10:47:20+00:00
61,21,6,2024-10-14 10:47:33+00:00
63,21,5,2024-10-14 10:47:47+00:00
62,21,5,2024-10-14 10:48:00+00:00
61,21,6,2024-10-14 10:48:13+00:00
61,21,6,2024-10-14 10:48:26+00:00
65,21,5,2024-10-14 10:48:39+00:00
61,21,5,2024-10-14 10:48:52+00:00
65,21,6,2024-10-14 10:49:06+00:00
59,21,6,2024-10-14 10:49:19+00:00
66,21,6,2024-10-14 10:49:32+00:00
64,21,5,2024-10-14 10:49:45+00:00
63,21,5,2024-10-14 10:49:58+00:00
67,21,5,2024-10-14 10:50:11+00:00
64,21,5,2024-10-14 10:50:25+00:00
61,21,5,2024-10-14 10:50:38+00:00
61,21,5,2024-10-14 10:50:51+00:00
66,21,6,2024-10-14 10:51:04+00:00
61,21,5,2024-10-14 10:51:17+00:00
61,21,5,2024-10-14 10:51:31+00:00
64,21,5,2024-10-14 10:51:44+00:00
62,21,5,2024-10-14 10:51:57+00:00
65,21,5,2024-10-14 10:52:10+00:00
64,21,5,2024-10-14 10:52:23+00:00
64,21,5,2024-10-14 10:52:36+00:00
64,21,5,2024-10-14 10:52:50+00:00
64,21,5,2024-10-14 10:53:03+00:00
64,21,5,2024-10-14 10:53:16+00:00
64,21,5,2024-10-14 10:53:29+00:00
63,21,5,2024-10-14 10:53:42+00:00
61,21,5,2024-10-14 10:53:55+00:00
63,21,5,2024-10-14 10:54:09+00:00
63,21,5,2024-10-14 10:54:22+00:00
64,21,5,2024-10-14 10:54:35+00:00
64,21,5,2024-10-14 10:54:48+00:00
62,21,5,2024-10-14 10:55:01+00:00
61,21,5,2024-10-14 10:55:14+00:00
61,21,5,2024-10-14 10:55:28+00:00
61,21,5,2024-10-14 10:55:41+00:00
62,21,5,2024-10-14 10:55:54+00:00
64,21,5,2024-10-14 10:56:07+00:00
66,21,5,2024-10-14 10:56:20+00:00
64,21,5,2024-10-14 10:56:33+00:00
62,21,5,2024-10-14 10:56:47+00:00
64,21,5,2024-10-14 10:57:00+00:00
64,21,5,2024-10-14 10:57:13+00:00
63,21,5,2024-10-14 10:57:26+00:00
61,21,5,2024-10-14 10:57:39+00:00
61,21,5,2024-10-14 10:57:53+00:00
64,21,5,2024-10-14 10:58:06+00:00
65,21,5,2024-10-14 10:58:19+00:00
65,21,5,2024-10-14 10:58:32+00:00
61,21,5,2024-10-14 10:58:45+00:00
59,21,5,2024-10-14 10:58:58+00:00
64,21,5,2024-10-14 10:59:12+00:00
64,21,5,2024-10-14 10:59:25+00:00
64,21,5,2024-10-14 10:59:38+00:00
61,21,5,2024-10-14 10:59:51+00:00
64,21,5,2024-10-14 11:00:04+00:00
64,21,5,2024-10-14 11:00:17+00:00
61,21,5,2024-10-14 11:00:31+00:00
59,21,5,2024-10-14 11:00:44+00:00
61,21,5,2024-10-14 11:00:57+00:00
61,21,5,2024-10-14 11:01:10+00:00
61,21,5,2024-10-14 11:01:23+00:00
63,21,5,2024-10-14 11:01:36+00:00
61,21,5,2024-10-14 11:01:50+00:00
61,21,5,2024-10-14 11:02:03+00:00
61,21,5,2024-10-14 11:02:16+00:00
63,21,5,2024-10-14 11:02:29+00:00
63,21,5,2024-10-14 11:02:42+00:00
61,21,5,2024-10-14 11:02:55+00:00
65,21,5,2024-10-14 11:03:09+00:00
63,21,5,2024-10-14 11:03:22+00:00
61,21,5,2024-10-14 11:03:35+00:00
67,22,5,2024-10-14 11:03:48+00:00
64,21,5,2024-10-14 11:04:01+00:00
61,21,5,2024-10-14 11:04:14+00:00
62,21,5,2024-10-14 11:04:28+00:00
63,21,5,2024-10-14 11:04:41+00:00
64,21,5,2024-10-14 11:04:54+00:00
61,21,5,2024-10-14 11:05:07+00:00
59,21,5,2024-10-14 11:05:20+00:00
61,21,5,2024-10-14 11:05:33+00:00
63,21,5,2024-10-14 11:05:47+00:00
59,21,5,2024-10-14 11:06:00+00:00
64,22,5,2024-10-14 11:06:13+00:00
67,21,5,2024-10-14 11:06:26+00:00
62,21,5,2024-10-14 11:06:39+00:00
59,21,5,2024-10-14 11:06:53+00:00
63,21,5,2024-10-14 11:07:06+00:00
64,21,5,2024-10-14 11:07:19+00:00
63,21,5,2024-10-14 11:07:32+00:00
61,21,5,2024-10-14 11:07:45+00:00
59,21,5,2024-10-14 11:07:58+00:00
60,21,5,2024-10-14 11:08:12+00:00
63,21,5,2024-10-14 11:08:25+00:00
61,21,5,2024-10-14 11:08:38+00:00
59,22,5,2024-10-14 11:08:51+00:00
61,22,5,2024-10-14 11:09:04+00:00
63,21,5,2024-10-14 11:09:17+00:00
63,21,5,2024-10-14 11:09:31+00:00
63,21,5,2024-10-14 11:09:44+00:00
64,21,5,2024-10-14 11:09:57+00:00
64,21,5,2024-10-14 11:10:10+00:00
61,21,5,2024-10-14 11:10:23+00:00
61,21,5,2024-10-14 11:10:36+00:00
63,21,5,2024-10-14 11:10:50+00:00
63,21,5,2024-10-14 11:11:03+00:00
67,22,4,2024-10-14 11:11:16+00:00
64,22,4,2024-10-14 11:11:29+00:00
63,22,5,2024-10-14 11:11:42+00:00
64,22,5,2024-10-14 11:11:55+00:00
63,22,5,2024-10-14 11:12:09+00:00
